Country,Year,Happiness
Latvia,2018,5.933
Japan,2018,5.915
Mauritius,2018,5.891
Jamaica,2018,5.89
South Korea,2018,5.875
Northern Cyprus,2018,5.835
Russia,2018,5.81
Kazakhstan,2018,5.79
Cyprus,2018,5.762
Bolivia,2018,5.752
Estonia,2018,5.739
Paraguay,2018,5.681
Peru,2018,5.663
Kosovo,2018,5.662
Moldova,2018,5.64
Turkmenistan,2018,5.636
Hungary,2018,5.62
Libya,2018,5.566
Philippines,2018,5.524
Honduras,2018,5.504
Belarus,2018,5.483
Turkey,2018,5.483
Pakistan,2018,5.472
Hong Kong,2018,5.43
Portugal,2018,5.41
Serbia,2018,5.398
Greece,2018,5.358
Lebanon,2018,5.358
Montenegro,2018,5.347
Croatia,2018,5.321
Dominican Republic,2018,5.302
Algeria,2018,5.295
Morocco,2018,5.254
China,2018,5.246
Azerbaijan,2018,5.201
Tajikistan,2018,5.199
Macedonia,2018,5.185
Jordan,2018,5.161
Nigeria,2018,5.155
Kyrgyzstan,2018,5.131
Bosnia and Herzegovina,2018,5.129
Mongolia,2018,5.125
Vietnam,2018,5.103
Indonesia,2018,5.093
Bhutan,2018,5.082
Somalia,2018,4.982
Cameroon,2018,4.975
Bulgaria,2018,4.933
Nepal,2018,4.88
Venezuela,2018,4.806
Gabon,2018,4.758
Palestinian Territories,2018,4.743
South Africa,2018,4.724
Iran,2018,4.707
Ivory Coast,2018,4.671
Ghana,2018,4.657
Senegal,2018,4.631
Laos,2018,4.623
Tunisia,2018,4.592
Albania,2018,4.586
Sierra Leone,2018,4.571
Congo (Brazzaville),2018,4.559
Bangladesh,2018,4.5
Sri Lanka,2018,4.471
Iraq,2018,4.456
Mali,2018,4.447
Namibia,2018,4.441
Cambodia,2018,4.433
Burkina Faso,2018,4.424
Egypt,2018,4.419
Mozambique,2018,4.417
Kenya,2018,4.41
Zambia,2018,4.377
Mauritania,2018,4.356
Ethiopia,2018,4.35
Georgia,2018,4.34
Armenia,2018,4.321
Myanmar,2018,4.308
Chad,2018,4.301
Congo (Kinshasa),2018,4.245
India,2018,4.19
Niger,2018,4.166
Uganda,2018,4.161
Benin,2018,4.141
Sudan,2018,4.139
Ukraine,2018,4.103
Togo,2018,3.999
Guinea,2018,3.964
Lesotho,2018,3.808
Angola,2018,3.795
Madagascar,2018,3.774
Zimbabwe,2018,3.692
Afghanistan,2018,3.632
Botswana,2018,3.59
Malawi,2018,3.587
Haiti,2018,3.582
Liberia,2018,3.495
Syria,2018,3.462
Rwanda,2018,3.408
Yemen,2018,3.355
Tanzania,2018,3.303
South Sudan,2018,3.254
Central African Republic,2018,3.083
Burundi,2018,2.905
Finland,2019,7.769
Denmark,2019,7.6
Norway,2019,7.554
Iceland,2019,7.494
Netherlands,2019,7.488
Switzerland,2019,7.48
Sweden,2019,7.343
New Zealand,2019,7.307
Canada,2019,7.278
Austria,2019,7.246
Australia,2019,7.228
Costa Rica,2019,7.167
Israel,2019,7.139
Luxembourg,2019,7.09
United Kingdom,2019,7.054
Ireland,2019,7.021
Germany,2019,6.985
Belgium,2019,6.923
United States,2019,6.892
Czech Republic,2019,6.852
United Arab Emirates,2019,6.825
Malta,2019,6.726
Mexico,2019,6.595
France,2019,6.592
Taiwan,2019,6.446
Chile,2019,6.444
Guatemala,2019,6.436
Saudi Arabia,2019,6.375
Qatar,2019,6.374
Spain,2019,6.354
Panama,2019,6.321
Brazil,2019,6.3
Uruguay,2019,6.293
Singapore,2019,6.262
El Salvador,2019,6.253
Italy,2019,6.223
Bahrain,2019,6.199
Slovakia,2019,6.198
Trinidad & Tobago,2019,6.192
Poland,2019,6.182
Uzbekistan,2019,6.174
Lithuania,2019,6.149
Colombia,2019,6.125
Slovenia,2019,6.118
Nicaragua,2019,6.105
